"Location or Address","Location - Remarks","Property Owner",Public,Private,"New Tag #","Old Tag #","DBH ("")","General Condition of Crown","Foliage Quality","Structural Quality","Deadwood Present","Quality Tree",Remarks,Maintenance Performed
Battle Ave South side,Maint. Area,Golf Club,X,"",3 34,288,35,G,G,F,G,"","",Pruned
Battle Ave North side,Tennis Court,Golf Club,X,"",3 35,282,27,G,G,G,G,"",Small DW,""
Battle Ave North side,Fort George,Castine,X,"",3 36,163,31,F,F,G,F,"",Small DW,""
Battle Ave North side,Fort George,Castine,X,"",3 37,162,16,G,G,G,G,"","",""
Battle Ave North side,Fort George,Castine,X,"",3 38,161,17,G,G,G,G,"","",""
"Battle Ave North side",Fort George,Castine,X,"",3 39,"",33,G,G,P,G,"",Old damage,Not addressed in 2011
Battle Ave North side,Fort George,Castine,X,"",3 40,159,27,F,G,G,G,"",Small DW,""
57 Pleasant St East side,"",Sweet,X,"",3 41,300,19,G,G,G,G,"",Small DW,""
191 Perkins St South side,"",Rogers,"",X,3 42,"",16,G,G,F,G,"",Fair crotch structure,""
Perkins St North side,Opposite 97 Perkins St,Baker,"",X,3 43,"",11,G,F,G,G,"","",""
Perkins St North side,Opposite 97 Perkins St,Baker,"",X,3 44,"",6 7 8 9 11,G,G,F,G,"",Clump,DED 07/25/11
77 Main St East side,"",Bagot,"",X,3 45,"",19,G,G,F,F,"","Small  DW, Mediun DW",""
77 Main St East side,"",Bagot,"",X,3 46,"",8,G,G,F,G,"","",""
Battle Ave South side,5th Fairway,Golf Club,"",X,3 48,"",22,F,G,G,G,"","",""
Court St North side,"",Health Center,"",X,3 49,"",21,G,G,G,G,"","",""
Court St North side,"",Mundth,"",X,3 50,"",19,G,F,G,F,"",Medium DW,""
Court St North side,"",Mundth,"",X,3 51,"",16,G,F,G,G,"","",""
Court St North side,behind,Health Center,"",X,3 52,"",8,G,G,G,G,"","",""
Court St North side,behind,Health Center,"",X,3 53,"",11,F,F,G,G,"",Check in spring,""
Court St North side,behind,Health Center,"",X,3 54,"",8,G,G,G,G,"","",""
